FID,UtcTimestamp,lat,lon,time_utc,pred_lat,pred_lon,separation_km
0,2026-07-06T07:51:54.0000000+00:00,36.17141667,14.52626667,2026-07-06 07:51:54,36.171417,14.526267,0.0001797323178584275
1,2026-07-06T08:21:54.0000000+00:00,36.16743333,14.52871667,2026-07-06 08:21:54,36.169846,14.530839,0.32880512171879006
2,2026-07-06T08:51:54.0000000+00:00,36.16313333,14.53085,2026-07-06 08:51:54,36.16795,14.535523,0.6802224579990872
3,2026-07-06T09:21:54.0000000+00:00,36.15881667,14.53266667,2026-07-06 09:21:54,36.165737,14.540273,1.0286320694850235
4,2026-07-06T09:51:54.0000000+00:00,36.15411667,14.53395,2026-07-06 09:51:54,36.16346,14.545306,1.455699633778551
5,2026-07-06T10:21:54.0000000+00:00,36.14945,14.5347,2026-07-06 10:21:54,36.16119,14.550633,1.9366531130528823
6,2026-07-06T10:51:54.0000000+00:00,36.14481667,14.53526667,2026-07-06 10:51:54,36.159157,14.556365,2.47612672308537
7,2026-07-06T11:21:54.0000000+00:00,36.14016667,14.53585,2026-07-06 11:21:54,36.15729,14.562548,3.0612868218219003
8,2026-07-06T11:51:54.0000000+00:00,36.13561667,14.53598333,2026-07-06 11:51:54,36.15499,14.569315,3.6876450656426476
9,2026-07-06T12:21:55.0000000+00:00,36.13095,14.5359,2026-07-06 12:21:55,36.152172,14.576654,4.354438185251885
10,2026-07-06T12:51:54.0000000+00:00,36.12608333,14.53571667,2026-07-06 12:51:54,36.14915,14.584321,5.062612268545187
11,2026-07-06T13:21:54.0000000+00:00,36.12026667,14.53618333,2026-07-06 13:21:54,36.14592,14.592212,5.784023838098617
12,2026-07-06T13:51:54.0000000+00:00,36.1147,14.53713333,2026-07-06 13:51:54,36.142166,14.600161,6.4318988118116325
13,2026-07-06T14:21:54.0000000+00:00,36.10891667,14.53868333,2026-07-06 14:21:54,36.13795,14.608062,7.018058007341424
14,2026-07-06T14:51:55.0000000+00:00,36.10316667,14.54038333,2026-07-06 14:51:55,36.133987,14.615822,7.593487002121415
15,2026-07-06T15:21:54.0000000+00:00,36.09768333,14.54193333,2026-07-06 15:21:54,36.13034,14.623382,8.168049557888585
16,2026-07-06T15:51:55.0000000+00:00,36.0928,14.54376667,2026-07-06 15:51:55,36.12649,14.630789,8.668905957816323
17,2026-07-06T16:21:54.0000000+00:00,36.08773333,14.54515,2026-07-06 16:21:54,36.122295,14.638026,9.186382969666342
18,2026-07-06T16:51:55.0000000+00:00,36.08268333,14.54551667,2026-07-06 16:51:55,36.117104,14.6451,9.73135013714646
19,2026-07-06T17:21:54.0000000+00:00,36.07753333,14.54503333,2026-07-06 17:21:54,36.110924,14.651951,10.29916303172055
20,2026-07-06T17:51:54.0000000+00:00,36.07298333,14.54446667,2026-07-06 17:51:54,36.104507,14.658208,10.804801207884974
21,2026-07-06T18:22:01.0000000+00:00,36.06845,14.54343333,2026-07-06 18:22:01,36.09801,14.663857,11.309955318227397
22,2026-07-06T18:51:54.0000000+00:00,36.06411667,14.54186667,2026-07-06 18:51:54,36.091312,14.669146,11.831599666271568
23,2026-07-06T19:21:55.0000000+00:00,36.06045,14.54046667,2026-07-06 19:21:55,36.084553,14.674188,12.313388648778153
24,2026-07-06T19:51:54.0000000+00:00,36.05705,14.53943333,2026-07-06 19:51:54,36.078327,14.67914,12.777967438073167
25,2026-07-06T20:21:54.0000000+00:00,36.0539,14.53871667,2026-07-06 20:21:54,36.0728,14.684071,13.233221693373675
26,2026-07-06T20:51:56.0000000+00:00,36.051,14.5383,2026-07-06 20:51:56,36.068153,14.689116,13.690427313493126
27,2026-07-06T21:21:54.0000000+00:00,36.04856667,14.53861667,2026-07-06 21:21:54,36.06442,14.69431,14.106502710064506
28,2026-07-06T21:51:55.0000000+00:00,36.04635,14.53931667,2026-07-06 21:51:55,36.06151,14.699565,14.504036459702201
29,2026-07-06T22:21:54.0000000+00:00,36.04455,14.5411,2026-07-06 22:21:54,36.0594,14.704952,14.822396701252089
30,2026-07-06T22:52:19.0000000+00:00,36.04321667,14.54351667,2026-07-06 22:52:19,36.05796,14.710669,15.116229421727818
31,2026-07-06T23:21:54.0000000+00:00,36.0426,14.54633333,2026-07-06 23:21:54,36.057114,14.7168865,15.417652326000194
32,2026-07-06T23:52:01.0000000+00:00,36.0422,14.54968333,2026-07-06 23:52:01,36.056416,14.723744,15.72815783658489
33,2026-07-07T00:21:54.0000000+00:00,36.04221667,14.5535,2026-07-07 00:21:54,36.055782,14.731288,16.05456088230462
34,2026-07-07T00:52:25.0000000+00:00,36.04236667,14.55828333,2026-07-07 00:52:25,36.055428,14.739365,16.344291474879444
35,2026-07-07T01:21:55.0000000+00:00,36.04195,14.56328333,2026-07-07 01:21:55,36.05526,14.748039,16.675995388940485
36,2026-07-07T01:51:55.0000000+00:00,36.041,14.56903333,2026-07-07 01:51:55,36.05473,14.757562,17.017991845864326
37,2026-07-07T02:21:54.0000000+00:00,36.04016667,14.57506667,2026-07-07 02:21:54,36.05359,14.767985,17.408480119738336
38,2026-07-07T02:51:55.0000000+00:00,36.0392,14.58105,2026-07-07 02:51:55,36.051834,14.779156,17.866260430978564
39,2026-07-07T03:21:54.0000000+00:00,36.03788333,14.58736667,2026-07-07 03:21:54,36.04941,14.790954,18.349101678443652
40,2026-07-07T03:52:00.0000000+00:00,36.03526667,14.59391667,2026-07-07 03:52:00,36.046288,14.80334,18.869543341315715
41,2026-07-07T04:21:54.0000000+00:00,36.0324,14.60066667,2026-07-07 04:21:54,36.04243,14.816105,19.403350600705675
42,2026-07-07T04:51:55.0000000+00:00,36.02906667,14.60751667,2026-07-07 04:51:55,36.03804,14.828929,19.9343534140765
43,2026-07-07T05:21:54.0000000+00:00,36.02545,14.61431667,2026-07-07 05:21:54,36.033165,14.841706,20.46597039030176
44,2026-07-07T05:52:01.0000000+00:00,36.0208,14.62125,2026-07-07 05:52:01,36.028793,14.85073,20.65633517194539
45,2026-07-07T06:22:00.0000000+00:00,36.01581667,14.62805,2026-07-07 06:22:00,36.025436,14.855805,20.51105425940708
46,2026-07-07T06:51:55.0000000+00:00,36.00983333,14.6348,2026-07-07 06:51:55,36.022102,14.860776,20.37006355250139
47,2026-07-07T07:21:55.0000000+00:00,36.00305,14.64131667,2026-07-07 07:21:55,36.018837,14.865618,20.251248498228954
48,2026-07-07T07:51:55.0000000+00:00,35.99591667,14.64721667,2026-07-07 07:51:55,36.01571,14.870394,20.19549783195823
49,2026-07-07T08:21:54.0000000+00:00,35.98846667,14.65233333,2026-07-07 08:21:54,36.012722,14.875156,20.225341056421627
50,2026-07-07T08:51:57.0000000+00:00,35.98088333,14.65663333,2026-07-07 08:51:57,36.00983,14.879944,20.346137622433318
51,2026-07-07T09:21:54.0000000+00:00,35.97313333,14.66035,2026-07-07 09:21:54,36.006927,14.884767,20.537435535297803
52,2026-07-07T09:52:25.0000000+00:00,35.96548333,14.66318333,2026-07-07 09:52:25,36.0039,14.889623,20.817073828234506
53,2026-07-07T10:21:54.0000000+00:00,35.95838333,14.66553333,2026-07-07 10:21:54,36.000637,14.894517,21.13324065731808
54,2026-07-07T10:51:54.0000000+00:00,35.95105,14.66756667,2026-07-07 10:51:54,35.997055,14.899435,21.48324901041708
55,2026-07-07T11:21:55.0000000+00:00,35.94378333,14.66883333,2026-07-07 11:21:55,35.99307,14.904333,21.89079668076669
56,2026-07-07T11:51:54.0000000+00:00,35.93675,14.66968333,2026-07-07 11:51:54,35.98861,14.909155,22.31081582508241
57,2026-07-07T12:21:54.0000000+00:00,35.92951667,14.6699,2026-07-07 12:21:54,35.98363,14.91383,22.765250480226218
58,2026-07-07T12:51:55.0000000+00:00,35.92285,14.66943333,2026-07-07 12:51:55,35.97815,14.918275,23.228148083288833
59,2026-07-07T13:21:54.0000000+00:00,35.91641667,14.66851667,2026-07-07 13:21:54,35.972248,14.922391,23.68239720856596
60,2026-07-07T13:52:01.0000000+00:00,35.91013333,14.6676,2026-07-07 13:52:01,35.96603,14.926077,24.086270341495155
61,2026-07-07T14:22:02.0000000+00:00,35.90418333,14.66626667,2026-07-07 14:22:02,35.959576,14.929327,24.472729891636213
62,2026-07-07T14:51:55.0000000+00:00,35.89815,14.66426667,2026-07-07 14:51:55,35.952965,14.932136,24.878043120239692
63,2026-07-07T15:22:31.0000000+00:00,35.89233333,14.66216667,2026-07-07 15:22:31,35.946293,14.934495,25.246651972008703
64,2026-07-07T15:51:54.0000000+00:00,35.88783333,14.6609,2026-07-07 15:51:54,35.939674,14.936389,25.470530339261085
65,2026-07-07T16:21:54.0000000+00:00,35.8837,14.66033333,2026-07-07 16:21:54,35.93323,14.93782,25.59097222373374
66,2026-07-07T16:51:55.0000000+00:00,35.88001667,14.66003333,2026-07-07 16:51:55,35.927155,14.938786,25.64797789080102
67,2026-07-07T17:21:54.0000000+00:00,35.87761667,14.65943333,2026-07-07 17:21:54,35.921543,14.939329,25.67986527390428
68,2026-07-07T17:51:55.0000000+00:00,35.87635,14.66086667,2026-07-07 17:51:55,35.916462,14.939514,25.49279252770037
69,2026-07-07T18:21:54.0000000+00:00,35.87546667,14.6635,2026-07-07 18:21:54,35.911938,14.939426,25.184032224793206
70,2026-07-07T18:51:59.0000000+00:00,35.8742,14.6661,2026-07-07 18:51:59,35.90797,14.939172,24.88405744778475
71,2026-07-07T19:21:54.0000000+00:00,35.8726,14.66788333,2026-07-07 19:21:54,35.904545,14.938868,24.668770271801222
72,2026-07-07T19:51:54.0000000+00:00,35.87186667,14.66975,2026-07-07 19:51:54,35.90165,14.938608,24.446052609190755
73,2026-07-07T20:21:54.0000000+00:00,35.87096667,14.67131667,2026-07-07 20:21:54,35.899174,14.938571,24.28027390314998
74,2026-07-07T20:51:54.0000000+00:00,35.86988333,14.67401667,2026-07-07 20:51:54,35.897026,14.938839,24.04837381667154
75,2026-07-07T21:21:54.0000000+00:00,35.86853333,14.67761667,2026-07-07 21:21:54,35.895103,14.939479,23.776199096962767
76,2026-07-07T21:51:54.0000000+00:00,35.8675,14.68108333,2026-07-07 21:51:54,35.8933,14.940542,23.551246385816984
77,2026-07-07T22:21:54.0000000+00:00,35.86638333,14.68416667,2026-07-07 22:21:54,35.891533,14.942006,23.398074123656205
78,2026-07-07T22:51:54.0000000+00:00,35.86481667,14.68756667,2026-07-07 22:51:54,35.889725,14.943842,23.25554861599537
79,2026-07-07T23:21:54.0000000+00:00,35.86291667,14.69103333,2026-07-07 23:21:54,35.88783,14.946009,23.13973293046569
80,2026-07-07T23:52:04.0000000+00:00,35.86053333,14.69501667,2026-07-07 23:52:04,35.8858,14.948456,23.007869500345706
81,2026-07-08T00:22:01.0000000+00:00,35.8574,14.6998,2026-07-08 00:22:01,35.883617,14.951129,22.833111676681867
82,2026-07-08T00:51:54.0000000+00:00,35.85391667,14.70506667,2026-07-08 00:51:54,35.881214,14.954003,22.635884467003507
83,2026-07-08T01:22:31.0000000+00:00,35.85018333,14.71095,2026-07-08 01:22:31,35.87858,14.957044,22.399865159474732
84,2026-07-08T01:52:01.0000000+00:00,35.84653333,14.7165,2026-07-08 01:52:01,35.87571,14.9602165,22.2012143559078
85,2026-07-08T02:21:54.0000000+00:00,35.84235,14.72185,2026-07-08 02:21:54,35.872643,14.963546,22.040740591115018
86,2026-07-08T02:51:54.0000000+00:00,35.83708333,14.7271,2026-07-08 02:51:54,35.8694,14.9670515,21.922336148647588
87,2026-07-08T03:21:55.0000000+00:00,35.83133333,14.73263333,2026-07-08 03:21:55,35.865986,14.970751,21.80483134508014
88,2026-07-08T03:51:55.0000000+00:00,35.82541667,14.73856667,2026-07-08 03:51:55,35.862377,14.974663,21.673966470907562
89,2026-07-08T04:21:54.0000000+00:00,35.81916667,14.74498333,2026-07-08 04:21:54,35.858536,14.978807,21.527202270801048
90,2026-07-08T04:52:01.0000000+00:00,35.8122,14.75091667,2026-07-08 04:52:01,35.854424,14.983202,21.459956580646192
91,2026-07-08T05:22:19.0000000+00:00,35.80401667,14.75583333,2026-07-08 05:22:19,35.84998,14.987848,21.532700338050493
92,2026-07-08T05:51:55.0000000+00:00,35.7956,14.75945,2026-07-08 05:51:55,35.84511,14.992742,21.742869011320312
93,2026-07-08T06:21:54.0000000+00:00,35.78768333,14.76223333,2026-07-08 06:21:54,35.839764,14.9978485,22.020741215353397
94,2026-07-08T06:51:54.0000000+00:00,35.7799,14.7645,2026-07-08 06:51:54,35.83394,15.003088,22.338746059549077
95,2026-07-08T07:21:54.0000000+00:00,35.77158333,14.76611667,2026-07-08 07:21:54,35.827618,15.008297,22.712787760028277
96,2026-07-08T07:51:55.0000000+00:00,35.76346667,14.7668,2026-07-08 07:51:55,35.820805,15.013265,23.126113155137602
97,2026-07-08T08:22:07.0000000+00:00,35.75525,14.76645,2026-07-08 08:22:07,35.81354,15.0177965,23.5807038809867
98,2026-07-08T08:52:01.0000000+00:00,35.74701667,14.76478333,2026-07-08 08:52:01,35.805847,15.021792,24.090648848298574
99,2026-07-08T09:21:54.0000000+00:00,35.73921667,14.7625,2026-07-08 09:21:54,35.79783,15.025148,24.57641815614247
100,2026-07-08T09:51:54.0000000+00:00,35.73205,14.75938333,2026-07-08 09:51:54,35.78969,15.027572,25.03319661223469
101,2026-07-08T10:22:01.0000000+00:00,35.7253,14.75666667,2026-07-08 10:22:01,35.78157,15.028915,25.351797552855697
102,2026-07-08T10:51:55.0000000+00:00,35.71873333,14.75341667,2026-07-08 10:51:55,35.773582,15.029118,25.617858200831186
103,2026-07-08T11:21:54.0000000+00:00,35.71318333,14.75045,2026-07-08 11:21:54,35.76582,15.028199,25.742309763328933
104,2026-07-08T11:51:54.0000000+00:00,35.70913333,14.74855,2026-07-08 11:51:54,35.75831,15.026273,25.657053580058598
105,2026-07-08T12:21:55.0000000+00:00,35.70578333,14.74688333,2026-07-08 12:21:55,35.751087,15.023486,25.471328243542427
106,2026-07-08T12:52:02.0000000+00:00,35.70291667,14.74548333,2026-07-08 12:52:02,35.74418,15.020035,25.20569016310779
107,2026-07-08T13:22:01.0000000+00:00,35.70095,14.74546667,2026-07-08 13:22:01,35.737617,15.016088,24.768853459407147
108,2026-07-08T13:51:54.0000000+00:00,35.69916667,14.74633333,2026-07-08 13:51:54,35.73144,15.011783,24.23255354205182
109,2026-07-08T14:21:55.0000000+00:00,35.6972,14.74715,2026-07-08 14:21:55,35.72567,15.007257,23.69662799294911
110,2026-07-08T14:51:54.0000000+00:00,35.6953,14.7481,2026-07-08 14:51:54,35.720356,15.00268,23.154393109386536
111,2026-07-08T15:23:01.0000000+00:00,35.69376667,14.74995,2026-07-08 15:23:01,35.715527,14.998186,22.54445045048276
112,2026-07-08T15:52:01.0000000+00:00,35.6918,14.75146667,2026-07-08 15:52:01,35.71116,14.993936,21.999960717046363
113,2026-07-08T16:21:54.0000000+00:00,35.68965,14.75298333,2026-07-08 16:21:54,35.707245,14.990015,21.493474537509826
114,2026-07-08T16:52:03.0000000+00:00,35.6876,14.75421667,2026-07-08 16:52:03,35.703796,14.986469,21.050663391360324
115,2026-07-08T17:21:55.0000000+00:00,35.68576667,14.75568333,2026-07-08 17:21:55,35.700848,14.983313,20.62483881236093
116,2026-07-08T17:51:54.0000000+00:00,35.68441667,14.75763333,2026-07-08 17:51:54,35.698444,14.9805565,20.192370903780652
117,2026-07-08T18:21:54.0000000+00:00,35.68346667,14.76018333,2026-07-08 18:21:54,35.696648,14.978202,19.743911713271068
118,2026-07-08T18:52:01.0000000+00:00,35.68236667,14.76321667,2026-07-08 18:52:01,35.69553,14.976285,19.298150446904923
119,2026-07-08T19:22:19.0000000+00:00,35.68085,14.76628333,2026-07-08 19:22:19,35.695126,14.974849,18.90292000080175
120,2026-07-08T19:51:54.0000000+00:00,35.6794,14.76978333,2026-07-08 19:51:54,35.695415,14.973954,18.525181163462836
121,2026-07-08T20:22:19.0000000+00:00,35.67741667,14.77325,2026-07-08 20:22:19,35.69626,14.97367,18.221682170956672
122,2026-07-08T20:51:54.0000000+00:00,35.67541667,14.77705,2026-07-08 20:51:54,35.69749,14.973994,17.955593782815402
123,2026-07-08T21:21:54.0000000+00:00,35.67308333,14.78111667,2026-07-08 21:21:54,35.69893,14.975069,17.75103953136133
124,2026-07-08T21:51:54.0000000+00:00,35.67021667,14.78518333,2026-07-08 21:51:54,35.70037,14.976907,17.637297119519832
125,2026-07-08T22:21:55.0000000+00:00,35.66696667,14.78861667,2026-07-08 22:21:55,35.701637,14.979493,17.66523693574655
126,2026-07-08T22:52:02.0000000+00:00,35.66381667,14.79211667,2026-07-08 22:52:02,35.702564,14.98278,17.75121412475673
127,2026-07-08T23:22:22.0000000+00:00,35.66011667,14.79631667,2026-07-08 23:22:22,35.703007,14.986696,17.84436107295726
128,2026-07-08T23:51:54.0000000+00:00,35.65608333,14.8005,2026-07-08 23:51:54,35.702835,14.991151,17.987586005097608
129,2026-07-09T00:22:01.0000000+00:00,35.65111667,14.8048,2026-07-09 00:22:01,35.701927,14.996023,18.17308052992574
130,2026-07-09T00:52:04.0000000+00:00,35.6461,14.8088,2026-07-09 00:52:04,35.70018,15.001203,18.390625034909217
131,2026-07-09T01:22:08.0000000+00:00,35.64025,14.81255,2026-07-09 01:22:08,35.69748,15.006532,18.64296746392728
132,2026-07-09T01:51:54.0000000+00:00,35.63415,14.81565,2026-07-09 01:51:54,35.69373,15.011832,18.920848501761387
133,2026-07-09T02:22:49.0000000+00:00,35.6279,14.81835,2026-07-09 02:22:49,35.68893,15.016903,19.17935678546517
134,2026-07-09T02:52:02.0000000+00:00,35.62271667,14.82011667,2026-07-09 02:52:02,35.683147,15.021542,19.400203463432458
